Subgraph,Sentence
<S> <H> Discriminatory hiring practices <NEG> <T> Employment <E>,Discriminatory hiring practices reduces chances of getting employment for certain group of people.
<S> <H> Poor parenting skills <POS> <T> ACEs <H> Poor parenting skills <NEG> <T> Nurturing environment <H> Nurturing environment <POS> <T> Feelings of self-worth <H> Nurturing environment <POS> <T> Supportive families <E>,Poor parenting skills increases the chances of ACEs while reducing their nurturing environment. Nurturing environment for children is important for their feelings of self-worth and supportive families.
<S> <H> ACEs <POS> <T> Impulsivity <E>,Adverse childhood experiences (ACEs) increases the likelihood of impulsivity.
<S> <H> Parents change practices at home <POS> <T> Supervised internet access <H> Supervised internet access <NEG> <T> Ability to identify suicide methods <E>,"Parents change practices at home can help enforce supervised internet access at home, this reduces the chances for children to identify suicide methods."
<S> <H> Living in an impoverished environment <POS> <T> Parental risk factors <E>,Living in an impoverished environment gives rise to parental risk factors.
<S> <H> Living in impoverished environment <NEG> <T> Local job opportunities <H> Local job opportunities <NEG> <T> Low household income <E>,Living in impoverished environment reduces the likelihood of local job opportunities which reduces the affected person's household income.
<S> <H> Visit to the ER <POS> <T> Hospitalized <H> Hospitalized <POS> <T> ACEs <H> Hospitalized <POS> <T> Therapy success <E>,Visit to the ER increases the chances of the person getting hospitalized. Hospitalization helps to overcome ACEs through therapy.
<S> <H> Exposure to violence <POS> <T> Community risk factors <E>,Increase in exposure to violence increases community risk factors.
<S> <H> Negative cultural forces <POS> <T> Situational / interpersonal interactions <E>,Rise in negative cultural forces gives rise to situational / interpersonal interactions.
<S> <H> Working multiple jobs <POS> <T> Access to services <E>,Working multiple jobs increases the access to services.
<S> <H> Parental incarceration <POS> <T> Separation from parents <E>,Parental incarceration increases the likelihood separation from parents.
<S> <H> Suicide attempt <POS> <T> Suicide planning <H> Suicide planning <POS> <T> Execution of suicide plan <E>,"Increase in suicide attempts, increases the ability of its planning as well which gives higher chance of execution of suicide plan."
<S> <H> Invalidating family environment <POS> <T> Suicide ideation <E>,Invalidating family environment increases the chances of suicide ideation.
<S> <H> Parental risk factors <POS> <T> ACEs <E>,Parental risk factors gives rise to probability of adverse childhood experiences (ACEs).
<S> <H> Separation <POS> <T> Being in foster care <H> Being in foster care <POS> <T> Being hospitalized <H> Being hospitalized <POS> <T> ACEs <E>,Separation from family increases the chances of being in foster care. This further increases the chances of being hospitalized and ACEs.
<S> <H> Child risk factors <POS> <T> ACEs <H> ACEs <POS> <T> Juvenile delinquency <H> Juvenile delinquency <POS> <T> Suicide ideation <E>,"Higher the child's risk factors, higher is the ACEs. This increase in ACEs increase in juvenile delinquency and suicide ideation."
<S> <H> Mental health disorders <POS> <T> Suicide ideation <H> Suicide ideation <POS> <T> Ruminative thoughts about dying <H> Ruminative thoughts about dying <POS> <T> Reduced fear of death <E>,Mental health disorders increases suicide ideation and also ruminative thoughts about dying due to reduced fear of death.
"<S> <H> Safe, stable, nurturing relationships and environments <POS> <T> ACEs protective factors <E>","Safe, stable, nurturing relationships and environments increases the protective factors of ACEs."
<S> <H> Juvenile delinquency <POS> <T> Child risk factors <H> Child risk factors <POS> <T> ACEs <E>,Juvenile delinquency increases child's risk factors which in turn increases ACEs.
<S> <H> ACEs <POS> <T> Suicide ideation <E>,Adverse childhood experiences (ACEs) increases suicide ideation in later stages of life.
<S> <H> Rural <NEG> <T> Connectedness <H> Rural <POS> <T> Isolation <H> Connectedness <POS> <T> Access to immediate effective clinical care <H> Connectedness <NEG> <T> Homelessness <H> Isolation <NEG> <T> Ability to safe life by treatment <E>,"Rural lives decreases connectedness and increases isolation. Connectedness is important factor for access to immediate effective clinical care, while isolation reduces the ability to save life by treatment."
<S> <H> Suicide ideation <POS> <T> Suicide attempt <E>,High ideation of suicide increases the its attempts.
<S> <H> Historical trauma <POS> <T> Biological embedding of trauma in the family <E>,Historical trauma can give rise to biological embedding of trauma in the family.
<S> <H> Parental behavioral training <NEG> <T> Lack of parental coping mechanisms <H> Lack of parental coping mechanisms <POS> <T> Parental escalation of conflicts <H> Lack of parental coping mechanisms <POS> <T> Parental frustration <E>,Parental behavioral training increases the parental coping mechanisms. These coping mechanisms are important for managing parental conflicts and frustration.
<S> <H> Structural racism <POS> <T> ACEs <H> Structural racism <POS> <T> Involvement with the justice system <H> Involvement with the justice system <POS> <T> Contact with other individuals in the justice system <H> Involvement with the justice system <POS> <T> Substance use treatment <H> Substance use treatment <NEG> <T> Substance abuse <E>,Structural racism increases the chances of adverse childhood experiences and also increases involvement with the justice system. This can increases contact with other individuals in the justice system and also substance use treatment while reducing substance abuse.
<S> <H> Hurt by rejection <POS> <T> Emotional invalidation <H> Hurt by rejection <POS> <T> Interpersonal stressors <E>,People who are hurt by rejection are likely to experience emotional invalidation and also increase in interpersonal stressors.
<S> <H> Suicide attempt <POS> <T> Suicide planning <H> Suicide attempt <POS> <T> Suicide treatment <H> Suicide planning <POS> <T> Suicide ideation <H> Suicide ideation <POS> <T> Visit to the ER <E>,Increase in suicide attempts is highly dependent upon suicide planning. Suicide ideation increases planning and attempts which increases the chances of visit to the ER.
<S> <H> Rural <NEG> <T> Access to services <H> Rural <POS> <T> Family financial stress <H> Rural <NEG> <T> Local job opportunities <H> Access to services <POS> <T> Housing stability <H> Family financial stress <POS> <T> Distress <H> Local job opportunities <NEG> <T> Low household income <H> Housing stability <NEG> <T> Homelessness <E>,Living in rural areas reduces access to services and local job opportunities but increases family financial stress. Access to services is important for housing stability and reduce family distress. Local job opportunities increases household income and reduces homelessness.
<S> <H> Schools-based services and nurturing <POS> <T> Social connections <H> Schools-based services and nurturing <POS> <T> Meeting nutritional needs <H> Schools-based services and nurturing <POS> <T> Mental health and emotional support services <E>,"Schools-based services and nurturing helps improve social connections, nutritional needs and their mental health and emotional support services of the students."
<S> <H> Financial Stability <POS> <T> Housing stability <H> Financial Stability <NEG> <T> Low quality of housing <E>,Financial stability improves housing stability and also quality of housing.
